fight_id,ending_round,ending_time,unique_round_id,round_number,fighter_name,fighter_knockdowns,fighter_total_strikes_landed,fighter_total_strikes_attempted,fighter_takedowns,fighter_takedowns_attempted,fighter_submission_attempts,fighter_reversals,fighter_control_time,fighter_significant_strikes_head_landed,fighter_significant_strikes_head_attempted,fighter_significant_strikes_body_landed,fighter_significant_strikes_body_attempted,fighter_significant_strikes_leg_landed,fighter_significant_strikes_leg_attempted,fighter_significant_strikes_standing_landed,fighter_significant_strikes_standing_attempted,fighter_significant_strikes_clinch_landed,fighter_significant_strikes_clinch_attempted,fighter_significant_strikes_ground_landed,fighter_significant_strikes_ground_attempted,opponent_knockdowns,opponent_total_strikes_landed,opponent_total_strikes_attempted,opponent_takedowns,opponent_takedowns_attempted,opponent_submission_attempts,opponent_control_time,opponent_reversals,opponent_significant_strikes_head_landed,opponent_significant_strikes_head_attempted,opponent_significant_strikes_body_landed,opponent_significant_strikes_body_attempted,opponent_significant_strikes_leg_landed,opponent_significant_strikes_leg_attempted,opponent_significant_strikes_standing_landed,opponent_significant_strikes_standing_attempted,opponent_significant_strikes_clinch_landed,opponent_significant_strikes_clinch_attempted,opponent_significant_strikes_ground_landed,opponent_significant_strikes_ground_attempted
1,2,3:33,1349,1,"Robert Whittaker",0,17,66,0,0,0,0,0:00,6,49,3,5,8,12,17,66,0,0,0,0,1,20,44,0,0,0,0:01,0,14,38,4,4,2,2,20,44,0,0,0,0
1,2,3:33,1351,2,"Robert Whittaker",0,15,50,0,0,0,0,0:00,14,48,0,0,1,2,15,50,0,0,0,0,1,20,51,0,0,0,0:03,0,13,42,2,4,5,5,17,47,0,0,3,4
2,3,5:00,247,1,"Al Iaquinta",0,5,23,0,0,0,0,0:14,4,22,1,1,0,0,5,23,0,0,0,0,0,44,69,0,1,0,1:28,0,25,49,0,0,13,14,23,48,0,0,15,15
2,3,5:00,249,2,"Al Iaquinta",0,16,40,0,2,0,0,0:10,7,28,3,5,5,6,15,39,0,0,0,0,1,27,63,0,0,0,1:01,0,18,51,3,5,6,7,20,53,0,0,7,10
2,3,5:00,251,3,"Al Iaquinta",0,17,54,0,1,0,0,0:00,10,43,3,5,4,6,17,54,0,0,0,0,0,33,81,0,0,0,0:00,0,25,68,4,8,4,5,33,81,0,0,0,0
3,2,3:14,10433,1,"Tai Tuivasa",0,14,38,0,0,0,0,0:05,4,24,1,4,8,9,12,29,1,6,0,2,0,21,31,4,5,0,2:25,0,9,19,1,1,0,0,5,15,0,0,5,5
3,2,3:14,10435,2,"Tai Tuivasa",0,8,13,0,0,0,0,0:00,4,8,3,4,1,1,5,10,3,3,0,0,0,19,29,2,3,1,1:56,0,13,22,0,0,0,0,3,12,1,1,9,9
4,3,5:00,7355,1,"Luke Jumeau",0,7,28,0,0,0,0,0:00,3,24,0,0,4,4,7,28,0,0,0,0,0,9,37,0,0,0,0:00,0,2,18,1,9,6,10,9,37,0,0,0,0
4,3,5:00,7357,2,"Luke Jumeau",0,7,28,0,0,0,0,0:00,7,25,0,3,0,0,7,28,0,0,0,0,0,25,50,2,3,0,1:57,0,5,26,0,1,4,5,7,26,0,0,2,6
4,3,5:00,7359,3,"Luke Jumeau",0,10,39,0,0,0,0,0:00,7,36,1,1,2,2,10,39,0,0,0,0,0,15,37,0,3,0,0:43,0,8,28,1,2,5,6,14,36,0,0,0,0
5,1,2:10,12115,1,"Justin Tafa",0,17,20,0,0,0,0,1:09,5,8,1,1,0,0,2,3,4,6,0,0,1,6,14,0,0,0,0:12,0,2,10,2,2,0,0,4,8,0,4,0,0
6,3,5:00,3968,1,"Rostem Akman",0,5,33,0,0,0,0,0:00,5,29,0,4,0,0,5,33,0,0,0,0,0,15,39,0,0,0,0:00,0,4,20,5,12,6,7,15,39,0,0,0,0
6,3,5:00,3970,2,"Rostem Akman",0,5,42,0,0,0,0,0:00,1,36,3,5,1,1,5,40,0,2,0,0,0,18,48,0,0,0,0:00,0,4,30,6,10,8,8,17,47,1,1,0,0
6,3,5:00,3972,3,"Rostem Akman",0,5,35,0,0,0,0,0:03,2,29,3,6,0,0,1,31,4,4,0,0,0,28,49,0,2,0,0:49,0,11,26,9,13,6,7,21,41,5,5,0,0
