unique_round_id,total_round_time,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,control_time,reversals,guard_passes,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
1,300,0,17,32,2,6,0,2:09,0,1.0,4,17,6,6,1,1,7,19,3,3,1,2
2,300,0,11,21,0,0,0,0:58,0,0.0,2,10,3,4,2,3,5,14,1,1,1,2
5,300,0,25,41,1,5,0,2:31,1,1.0,9,21,0,0,0,0,3,12,0,0,6,9
6,300,0,27,43,1,3,0,0:58,0,1.0,8,23,6,7,5,5,12,27,7,8,0,0
9,300,0,5,12,0,0,0,0:11,0,0.0,1,6,2,2,1,1,4,9,0,0,0,0
10,300,0,2,16,2,3,0,3:15,0,1.0,0,11,1,1,0,0,1,12,0,0,0,0
11,300,0,11,29,0,1,0,0:30,0,0.0,0,15,2,2,6,7,8,24,0,0,0,0
12,300,0,12,39,3,4,0,2:13,0,0.0,5,29,1,4,1,1,7,33,0,1,0,0
13,300,0,7,11,0,0,0,0:00,0,0.0,1,2,0,0,1,1,2,3,0,0,0,0
14,300,0,40,52,1,1,0,4:45,0,2.0,1,5,0,0,0,0,1,4,0,0,0,1
15,300,0,19,23,0,0,0,0:07,0,0.0,3,6,1,2,4,4,8,12,0,0,0,0
16,300,0,11,25,1,2,0,3:14,0,1.0,5,13,1,2,0,0,3,12,1,1,2,2
17,300,0,34,55,0,1,0,1:19,0,0.0,11,25,5,10,7,8,23,42,0,1,0,0
18,300,0,25,63,0,1,0,0:16,0,0.0,19,55,3,4,2,2,23,59,1,2,0,0
19,300,0,27,41,0,4,0,0:36,0,0.0,7,18,1,1,3,6,11,25,0,0,0,0
20,300,0,33,61,0,1,0,1:18,0,0.0,18,43,6,8,1,1,17,44,8,8,0,0
21,300,0,26,58,0,0,0,0:07,0,0.0,11,38,6,8,5,7,22,53,0,0,0,0
22,300,0,29,60,1,1,0,1:03,0,1.0,20,49,2,3,2,2,23,52,1,2,0,0
23,300,0,23,42,0,0,0,0:14,0,0.0,9,28,4,4,4,4,17,36,0,0,0,0
24,300,0,15,35,1,5,0,1:26,0,0.0,10,29,2,3,1,1,11,28,1,1,1,4
25,300,0,19,27,0,0,0,0:00,0,0.0,7,15,3,3,3,3,7,15,5,5,1,1
26,300,0,32,48,2,4,0,3:31,0,1.0,8,22,5,5,0,0,5,17,4,6,4,4
27,300,0,28,36,0,0,2,0:00,1,0.0,3,8,8,8,5,6,7,11,8,10,1,1
28,300,0,43,61,1,2,0,3:56,0,0.0,10,23,5,7,2,2,3,16,12,14,2,2
29,300,0,21,43,0,1,0,0:21,0,0.0,10,31,5,5,5,6,13,35,5,5,2,2
30,300,0,37,58,4,5,0,2:57,0,1.0,19,37,6,8,0,0,15,30,6,11,4,4
31,300,0,7,21,0,0,0,0:00,0,0.0,4,17,0,0,2,2,6,19,0,0,0,0
32,300,0,46,75,3,3,0,3:32,0,2.0,32,59,6,6,3,3,18,35,2,2,21,31
33,300,0,9,11,0,0,0,0:00,0,0.0,3,3,3,4,1,1,2,3,4,4,1,1
34,300,0,69,92,2,4,0,4:31,0,3.0,26,42,7,8,1,1,7,13,9,10,18,28
35,300,0,36,51,0,0,0,0:00,0,0.0,12,23,12,16,3,3,15,30,12,12,0,0
36,300,0,27,69,2,4,0,2:42,0,0.0,9,44,1,6,7,7,14,51,3,6,0,0
37,300,0,25,45,0,0,0,0:00,0,0.0,8,26,9,11,3,3,15,35,5,5,0,0
38,300,0,32,77,2,3,0,3:10,0,1.0,14,50,0,4,7,8,20,60,1,2,0,0
39,300,0,23,45,0,0,0,0:00,0,0.0,12,32,7,9,3,3,15,37,7,7,0,0
40,300,0,39,82,0,3,0,3:02,0,0.0,12,50,7,11,10,11,25,66,3,5,1,1
41,300,0,22,37,3,4,0,2:14,0,1.0,10,25,5,5,4,4,11,26,5,5,3,3
42,300,0,18,55,1,2,0,0:54,0,1.0,6,39,3,6,3,4,12,48,0,0,0,1
43,300,0,24,45,0,2,0,0:00,0,0.0,12,33,4,4,1,1,14,35,3,3,0,0
44,300,0,26,63,2,6,0,2:49,0,0.0,13,46,3,6,4,4,19,53,1,3,0,0
45,229,0,12,41,0,1,0,0:22,0,0.0,9,38,2,2,1,1,10,38,2,3,0,0
46,229,0,49,83,1,3,0,0:20,0,0.0,34,67,8,8,3,3,20,45,22,30,3,3
47,300,0,6,17,0,0,0,0:32,1,0.0,1,12,2,2,1,1,3,14,1,1,0,0
48,300,0,22,24,2,4,1,3:30,0,2.0,1,2,0,0,3,4,3,4,1,2,0,0
49,300,0,21,36,0,0,0,1:48,1,0.0,7,18,3,4,2,2,4,9,0,0,8,15
50,300,0,14,22,2,2,1,1:39,0,1.0,3,9,0,0,1,1,4,10,0,0,0,0
53,300,0,7,11,1,1,0,1:27,0,1.0,0,0,0,1,4,4,0,0,0,1,4,4
54,300,0,24,39,1,2,0,3:18,1,1.0,10,16,1,1,0,0,0,0,3,6,8,11
55,300,0,3,6,0,1,0,0:35,0,0.0,0,3,0,0,2,2,0,2,2,3,0,0
56,300,0,59,75,2,2,0,4:14,0,2.0,31,44,0,0,0,0,2,5,2,2,27,37
57,300,0,13,14,0,0,0,0:22,0,0.0,1,1,0,0,0,0,1,1,0,0,0,0
58,300,0,15,18,2,2,0,4:17,0,5.0,5,6,0,0,0,0,2,2,0,0,3,4
61,300,0,55,65,1,1,0,2:08,0,0.0,8,13,4,4,1,1,4,9,4,4,5,5
62,300,0,12,17,1,7,1,2:24,0,0.0,2,5,6,6,1,1,2,5,7,7,0,0
63,300,0,45,49,2,2,0,3:10,0,2.0,6,8,0,0,0,0,1,3,0,0,5,5
