unique_round_id,ending_round,ending_time,fighter_name,round_number,knockdowns,submission_attempts,takedowns,takedowns_attempted,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,fighter_control_time,opponent_control_time
1349,2,3:33,"Robert Whittaker",1,0,0,0,0,6,49,3,5,8,12,0:00,0:01
1351,2,3:33,"Robert Whittaker",2,0,0,0,0,14,48,0,0,1,2,0:00,0:03
247,3,5:00,"Al Iaquinta",1,0,0,0,0,4,22,1,1,0,0,0:14,1:28
249,3,5:00,"Al Iaquinta",2,0,0,0,2,7,28,3,5,5,6,0:10,1:01
251,3,5:00,"Al Iaquinta",3,0,0,0,1,10,43,3,5,4,6,0:00,0:00
10433,2,3:14,"Tai Tuivasa",1,0,0,0,0,4,24,1,4,8,9,0:05,2:25
10435,2,3:14,"Tai Tuivasa",2,0,0,0,0,4,8,3,4,1,1,0:00,1:56
7355,3,5:00,"Luke Jumeau",1,0,0,0,0,3,24,0,0,4,4,0:00,0:00
7357,3,5:00,"Luke Jumeau",2,0,0,0,0,7,25,0,3,0,0,0:00,1:57
7359,3,5:00,"Luke Jumeau",3,0,0,0,0,7,36,1,1,2,2,0:00,0:43
12115,1,2:10,"Justin Tafa",1,0,0,0,0,5,8,1,1,0,0,1:09,0:12
3968,3,5:00,"Rostem Akman",1,0,0,0,0,5,29,0,4,0,0,0:00,0:00
3970,3,5:00,"Rostem Akman",2,0,0,0,0,1,36,3,5,1,1,0:00,0:00
3972,3,5:00,"Rostem Akman",3,0,0,0,0,2,29,3,6,0,0,0:03,0:49
10264,3,5:00,"Maki Pitolo",1,0,1,0,0,21,56,4,5,1,1,0:55,2:13
10266,3,5:00,"Maki Pitolo",2,0,0,0,1,24,69,3,4,0,0,0:14,2:14
10268,3,5:00,"Maki Pitolo",3,0,0,0,1,4,17,2,2,1,1,0:25,3:58
7344,3,5:00,"Jamie Mullarkey",1,0,0,0,1,8,32,1,1,4,5,0:54,0:00
7346,3,5:00,"Jamie Mullarkey",2,0,0,2,8,5,14,1,1,2,2,1:58,1:13
7348,3,5:00,"Jamie Mullarkey",3,0,1,1,6,12,37,2,2,1,1,0:31,1:46
13522,1,3:57,"Zarah Fairn",1,0,0,0,0,2,5,0,0,0,0,0:23,3:23
13011,2,4:59,"Nadia Kassem",1,0,0,1,2,6,28,12,22,2,3,1:03,0:07
13013,2,4:59,"Nadia Kassem",2,0,0,0,0,3,39,19,34,3,5,0:00,0:03
12096,3,3:00,"Bruno Silva",1,0,0,0,4,2,12,4,6,3,4,1:13,0:00
12098,3,3:00,"Bruno Silva",2,0,0,1,3,7,17,4,5,0,1,4:16,0:00
12100,3,3:00,"Bruno Silva",3,0,0,1,4,0,4,0,0,0,1,1:30,0:39
1362,3,3:54,"Ben Askren",1,0,0,1,2,21,39,2,2,4,4,0:46,0:00
1364,3,3:54,"Ben Askren",2,0,0,1,1,21,50,0,2,1,1,0:34,0:39
1366,3,3:54,"Ben Askren",3,0,0,2,4,12,27,2,2,0,0,0:34,0:51
1031,3,5:00,"Michael Johnson",1,0,0,0,0,14,44,7,9,6,6,0:00,0:00
1033,3,5:00,"Michael Johnson",2,0,0,0,0,21,64,10,14,6,6,0:00,0:00
1035,3,5:00,"Michael Johnson",3,0,0,0,0,11,26,2,3,1,1,0:00,2:54
963,1,2:02,"Frank Camacho",1,0,0,0,0,1,7,2,2,0,0,0:00,0:45
12126,3,4:46,"Don'Tale Mayes",1,0,0,0,0,6,39,3,4,6,9,0:00,0:07
12128,3,4:46,"Don'Tale Mayes",2,0,0,0,0,3,24,2,4,5,10,0:00,1:11
12130,3,4:46,"Don'Tale Mayes",3,0,0,0,0,5,27,0,1,2,3,0:02,0:59
3680,3,5:00,"Laureano Staropoli",1,0,0,0,0,3,19,3,6,0,0,0:00,0:00
3682,3,5:00,"Laureano Staropoli",2,0,0,0,1,5,32,2,5,2,2,0:00,0:04
3684,3,5:00,"Laureano Staropoli",3,0,0,0,2,18,59,8,14,1,1,0:00,0:26
12848,3,5:00,"Ashley Yoder",1,0,0,1,3,7,10,4,5,0,1,2:41,1:28
12850,3,5:00,"Ashley Yoder",2,0,0,1,2,15,30,2,4,2,2,1:32,1:31
12852,3,5:00,"Ashley Yoder",3,0,0,0,1,8,44,5,7,1,4,1:24,0:06
1093,3,5:00,"Alex White",1,0,0,0,3,11,30,2,6,1,2,0:14,0:31
1095,3,5:00,"Alex White",2,0,0,0,3,8,28,4,7,2,2,0:40,0:12
1097,3,5:00,"Alex White",3,0,0,0,5,18,44,9,14,0,0,0:07,0:51
8951,3,5:00,"Enrique Barzola",1,0,0,0,0,10,49,5,6,5,7,0:00,1:11
8953,3,5:00,"Enrique Barzola",2,0,0,1,2,18,68,8,11,2,3,0:36,0:56
8955,3,5:00,"Enrique Barzola",3,0,0,0,3,20,72,8,14,2,4,0:02,0:05
10507,1,2:11,"Maurice Greene",1,0,0,0,0,1,11,1,2,6,9,0:00,0:14
12912,3,5:00,"Alexandra Albu",1,0,0,0,2,13,43,5,8,1,1,0:23,0:00
12914,3,5:00,"Alexandra Albu",2,0,0,0,0,15,42,7,8,1,3,0:18,0:14
12916,3,5:00,"Alexandra Albu",3,0,0,1,1,14,43,9,9,0,0,1:21,0:09
11762,3,5:00,"Jeff Hughes",1,0,0,0,0,4,17,1,2,6,8,0:00,0:02
11764,3,5:00,"Jeff Hughes",2,0,0,0,0,3,18,2,3,4,5,1:16,0:04
11766,3,5:00,"Jeff Hughes",3,0,0,0,0,3,11,3,4,8,9,0:00,0:00
113,3,0:28,"Kevin Lee",1,0,0,0,0,13,27,2,2,0,0,3:30,0:11
115,3,0:28,"Kevin Lee",2,0,0,2,2,13,34,3,3,0,0,2:56,0:00
117,3,0:28,"Kevin Lee",3,0,0,0,1,9,13,1,1,0,0,0:04,0:00
745,1,2:34,"Demian Maia",1,0,0,2,2,4,7,0,0,0,0,1:23,0:04
3000,1,0:44,"Damir Hadzovic",1,0,0,0,0,0,4,0,0,1,1,0:00,0:25
9877,3,5:00,"Johnny Walker",1,0,0,0,0,16,19,1,1,2,2,0:26,3:52
9879,3,5:00,"Johnny Walker",2,0,0,0,0,11,17,1,2,0,0,1:14,3:38
9881,3,5:00,"Johnny Walker",3,0,0,0,0,6,9,0,0,0,0,0:45,3:50
1244,3,5:00,"John Makdessi",1,0,0,0,0,5,9,7,10,13,16,0:00,0:00
1246,3,5:00,"John Makdessi",2,0,0,0,0,4,18,5,8,10,12,0:00,0:00
1248,3,5:00,"John Makdessi",3,0,0,0,0,6,27,4,8,13,15,0:00,0:00
8881,3,5:00,"Jussier Formiga",1,0,1,0,0,2,3,0,0,1,1,0:58,2:44
8883,3,5:00,"Jussier Formiga",2,0,0,1,6,3,6,2,2,0,1,2:10,0:58
8885,3,5:00,"Jussier Formiga",3,0,0,0,3,4,15,2,3,1,1,1:05,0:03
12416,3,5:00,"Randa Markos",1,0,0,0,0,5,13,0,0,2,2,0:00,3:04
