unique_round_id,ending_round,ending_time,fighter_name,round_number,knockdowns,submission_attempts,takedowns,takedowns_attempted,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,fighter_control_time,opponent_control_time
1350.0,2.0,3:33,Israel Adesanya,1.0,1.0,0.0,0.0,0.0,14.0,38.0,4.0,4.0,2.0,2.0,0:01,0:00
1352.0,2.0,3:33,Israel Adesanya,2.0,1.0,0.0,0.0,0.0,13.0,42.0,2.0,4.0,5.0,5.0,0:03,0:00
248.0,3.0,5:00,Dan Hooker,1.0,0.0,0.0,0.0,1.0,25.0,49.0,0.0,0.0,13.0,14.0,1:28,0:14
250.0,3.0,5:00,Dan Hooker,2.0,1.0,0.0,0.0,0.0,18.0,51.0,3.0,5.0,6.0,7.0,1:01,0:10
252.0,3.0,5:00,Dan Hooker,3.0,0.0,0.0,0.0,0.0,25.0,68.0,4.0,8.0,4.0,5.0,0:00,0:00
10434.0,2.0,3:14,Serghei Spivac,1.0,0.0,0.0,4.0,5.0,9.0,19.0,1.0,1.0,0.0,0.0,2:25,0:05
10436.0,2.0,3:14,Serghei Spivac,2.0,0.0,1.0,2.0,3.0,13.0,22.0,0.0,0.0,0.0,0.0,1:56,0:00
7356.0,3.0,5:00,Dhiego Lima,1.0,0.0,0.0,0.0,0.0,2.0,18.0,1.0,9.0,6.0,10.0,0:00,0:00
7358.0,3.0,5:00,Dhiego Lima,2.0,0.0,0.0,2.0,3.0,5.0,26.0,0.0,1.0,4.0,5.0,1:57,0:00
7360.0,3.0,5:00,Dhiego Lima,3.0,0.0,0.0,0.0,3.0,8.0,28.0,1.0,2.0,5.0,6.0,0:43,0:00
12116.0,1.0,2:10,Yorgan De Castro,1.0,1.0,0.0,0.0,0.0,2.0,10.0,2.0,2.0,0.0,0.0,0:12,1:09
3967.0,3.0,5:00,Jake Matthews,1.0,0.0,0.0,0.0,0.0,4.0,20.0,5.0,12.0,6.0,7.0,0:00,0:00
3969.0,3.0,5:00,Jake Matthews,2.0,0.0,0.0,0.0,0.0,4.0,30.0,6.0,10.0,8.0,8.0,0:00,0:00
3971.0,3.0,5:00,Jake Matthews,3.0,0.0,0.0,0.0,2.0,11.0,26.0,9.0,13.0,6.0,7.0,0:49,0:03
10263.0,3.0,5:00,Callan Potter,1.0,0.0,0.0,1.0,2.0,20.0,38.0,0.0,0.0,0.0,0.0,2:13,0:55
10265.0,3.0,5:00,Callan Potter,2.0,0.0,0.0,0.0,0.0,19.0,43.0,2.0,3.0,2.0,2.0,2:14,0:14
10267.0,3.0,5:00,Callan Potter,3.0,0.0,0.0,2.0,2.0,5.0,10.0,0.0,0.0,0.0,0.0,3:58,0:25
7343.0,3.0,5:00,Brad Riddell,1.0,0.0,0.0,0.0,0.0,6.0,25.0,3.0,5.0,4.0,5.0,0:00,0:54
7345.0,3.0,5:00,Brad Riddell,2.0,0.0,0.0,0.0,0.0,12.0,26.0,3.0,3.0,2.0,2.0,1:13,1:58
7347.0,3.0,5:00,Brad Riddell,3.0,0.0,0.0,1.0,1.0,52.0,78.0,8.0,8.0,1.0,1.0,1:46,0:31
13521.0,1.0,3:57,Megan Anderson,1.0,0.0,1.0,1.0,2.0,10.0,17.0,0.0,1.0,0.0,0.0,3:23,0:23
13012.0,2.0,4:59,Ji Yeon Kim,1.0,0.0,0.0,0.0,0.0,17.0,45.0,3.0,8.0,0.0,1.0,0:07,1:03
13014.0,2.0,4:59,Ji Yeon Kim,2.0,1.0,0.0,0.0,0.0,47.0,106.0,9.0,11.0,4.0,8.0,0:03,0:00
12095.0,3.0,3:00,Khalid Taha,1.0,1.0,0.0,0.0,1.0,8.0,31.0,3.0,8.0,1.0,4.0,0:00,1:13
12097.0,3.0,3:00,Khalid Taha,2.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0,2.0,2.0,2.0,0:00,4:16
12099.0,3.0,3:00,Khalid Taha,3.0,0.0,1.0,0.0,0.0,15.0,22.0,1.0,1.0,2.0,2.0,0:39,1:30
1361.0,3.0,3:54,Demian Maia,1.0,0.0,0.0,0.0,0.0,16.0,36.0,12.0,18.0,0.0,0.0,0:00,0:46
1363.0,3.0,3:54,Demian Maia,2.0,0.0,0.0,0.0,0.0,15.0,33.0,8.0,11.0,0.0,0.0,0:39,0:34
1365.0,3.0,3:54,Demian Maia,3.0,0.0,1.0,0.0,0.0,13.0,19.0,5.0,5.0,0.0,0.0,0:51,0:34
1032.0,3.0,5:00,Stevie Ray,1.0,0.0,0.0,0.0,1.0,11.0,39.0,2.0,2.0,11.0,14.0,0:00,0:00
1034.0,3.0,5:00,Stevie Ray,2.0,0.0,0.0,0.0,1.0,16.0,51.0,1.0,1.0,7.0,10.0,0:00,0:00
