unique_round_id,ending_round,ending_time,fighter_name,round_number,knockdowns,submission_attempts,takedowns,takedowns_attempted,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,fighter_control_time,opponent_control_time
1350,2,3:33,"Israel Adesanya",1,1,0,0,0,14,38,4,4,2,2,0:01,0:00
1352,2,3:33,"Israel Adesanya",2,1,0,0,0,13,42,2,4,5,5,0:03,0:00
248,3,5:00,"Dan Hooker",1,0,0,0,1,25,49,0,0,13,14,1:28,0:14
250,3,5:00,"Dan Hooker",2,1,0,0,0,18,51,3,5,6,7,1:01,0:10
252,3,5:00,"Dan Hooker",3,0,0,0,0,25,68,4,8,4,5,0:00,0:00
10434,2,3:14,"Serghei Spivac",1,0,0,4,5,9,19,1,1,0,0,2:25,0:05
10436,2,3:14,"Serghei Spivac",2,0,1,2,3,13,22,0,0,0,0,1:56,0:00
7356,3,5:00,"Dhiego Lima",1,0,0,0,0,2,18,1,9,6,10,0:00,0:00
7358,3,5:00,"Dhiego Lima",2,0,0,2,3,5,26,0,1,4,5,1:57,0:00
7360,3,5:00,"Dhiego Lima",3,0,0,0,3,8,28,1,2,5,6,0:43,0:00
12116,1,2:10,"Yorgan De Castro",1,1,0,0,0,2,10,2,2,0,0,0:12,1:09
3967,3,5:00,"Jake Matthews",1,0,0,0,0,4,20,5,12,6,7,0:00,0:00
3969,3,5:00,"Jake Matthews",2,0,0,0,0,4,30,6,10,8,8,0:00,0:00
3971,3,5:00,"Jake Matthews",3,0,0,0,2,11,26,9,13,6,7,0:49,0:03
10263,3,5:00,"Callan Potter",1,0,0,1,2,20,38,0,0,0,0,2:13,0:55
10265,3,5:00,"Callan Potter",2,0,0,0,0,19,43,2,3,2,2,2:14,0:14
10267,3,5:00,"Callan Potter",3,0,0,2,2,5,10,0,0,0,0,3:58,0:25
7343,3,5:00,"Brad Riddell",1,0,0,0,0,6,25,3,5,4,5,0:00,0:54
7345,3,5:00,"Brad Riddell",2,0,0,0,0,12,26,3,3,2,2,1:13,1:58
7347,3,5:00,"Brad Riddell",3,0,0,1,1,52,78,8,8,1,1,1:46,0:31
13521,1,3:57,"Megan Anderson",1,0,1,1,2,10,17,0,1,0,0,3:23,0:23
13012,2,4:59,"Ji Yeon Kim",1,0,0,0,0,17,45,3,8,0,1,0:07,1:03
13014,2,4:59,"Ji Yeon Kim",2,1,0,0,0,47,106,9,11,4,8,0:03,0:00
12095,3,3:00,"Khalid Taha",1,1,0,0,1,8,31,3,8,1,4,0:00,1:13
