unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,control_time,reversals,guard_passes,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
1,2089,197,1,"Michael Chiesa",0,17,32,2,6,0,2:09,0,1,4,17,6,6,1,1,7,19,3,3,1,2
2,2089,197,1,"Anthony Pettis",0,11,21,0,0,0,0:58,0,0,2,10,3,4,2,3,5,14,1,1,1,2
3,2089,197,2,"Michael Chiesa",0,2,3,0,0,0,0:29,0,0,0,0,1,1,0,1,1,2,0,0,0,0
4,2089,197,2,"Anthony Pettis",0,2,5,0,0,2,0:06,0,0,1,3,1,2,0,0,2,5,0,0,0,0
5,2334,219,1,"Joe Lauzon",0,25,41,1,5,0,2:31,1,1,9,21,0,0,0,0,3,12,0,0,6,9
6,2334,219,1,"Michael Chiesa",0,27,43,1,3,0,0:58,0,1,8,23,6,7,5,5,12,27,7,8,0,0
7,2334,219,2,"Joe Lauzon",0,17,25,1,2,0,0:13,0,0,8,16,4,4,0,0,7,15,4,4,1,1
8,2334,219,2,"Michael Chiesa",0,15,27,0,1,0,0:24,0,0,6,17,4,4,1,1,7,16,4,6,0,0
9,1330,124,1,"Rafael Dos Anjos",0,5,12,0,0,0,0:11,0,0,1,6,2,2,1,1,4,9,0,0,0,0
10,1330,124,1,"Michael Chiesa",0,2,16,2,3,0,3:15,0,1,0,11,1,1,0,0,1,12,0,0,0,0
11,1330,124,2,"Rafael Dos Anjos",0,11,29,0,1,0,0:30,0,0,0,15,2,2,6,7,8,24,0,0,0,0
12,1330,124,2,"Michael Chiesa",0,12,39,3,4,0,2:13,0,0,5,29,1,4,1,1,7,33,0,1,0,0
13,1330,124,3,"Rafael Dos Anjos",0,7,11,0,0,0,0:00,0,0,1,2,0,0,1,1,2,3,0,0,0,0
14,1330,124,3,"Michael Chiesa",0,40,52,1,1,0,4:45,0,2,1,5,0,0,0,0,1,4,0,0,0,1
15,249,25,1,"Rafael Dos Anjos",0,19,23,0,0,0,0:07,0,0,3,6,1,2,4,4,8,12,0,0,0,0
16,249,25,1,"Leon Edwards",0,11,25,1,2,0,3:14,0,1,5,13,1,2,0,0,3,12,1,1,2,2
17,249,25,2,"Rafael Dos Anjos",0,34,55,0,1,0,1:19,0,0,11,25,5,10,7,8,23,42,0,1,0,0
18,249,25,2,"Leon Edwards",0,25,63,0,1,0,0:16,0,0,19,55,3,4,2,2,23,59,1,2,0,0
19,249,25,3,"Rafael Dos Anjos",0,27,41,0,4,0,0:36,0,0,7,18,1,1,3,6,11,25,0,0,0,0
20,249,25,3,"Leon Edwards",0,33,61,0,1,0,1:18,0,0,18,43,6,8,1,1,17,44,8,8,0,0
21,249,25,4,"Rafael Dos Anjos",0,26,58,0,0,0,0:07,0,0,11,38,6,8,5,7,22,53,0,0,0,0
22,249,25,4,"Leon Edwards",0,29,60,1,1,0,1:03,0,1,20,49,2,3,2,2,23,52,1,2,0,0
23,249,25,5,"Rafael Dos Anjos",0,23,42,0,0,0,0:14,0,0,9,28,4,4,4,4,17,36,0,0,0,0
24,249,25,5,"Leon Edwards",0,15,35,1,5,0,1:26,0,0,10,29,2,3,1,1,11,28,1,1,1,4
25,980,90,1,"Rafael Dos Anjos",0,19,27,0,0,0,0:00,0,0,7,15,3,3,3,3,7,15,5,5,1,1
26,980,90,1,"Kamaru Usman",0,32,48,2,4,0,3:31,0,1,8,22,5,5,0,0,5,17,4,6,4,4
27,980,90,2,"Rafael Dos Anjos",0,28,36,0,0,2,0:00,1,0,3,8,8,8,5,6,7,11,8,10,1,1
